Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H2AK00028,"MALLOTT, RONALD CREIGHTON",,1,DEM,4007,0,4112,0,96,48,0,0,0,0,0,3662,690,AK,0,,L,,,0,0,0,1/31/1985,370,0
H4AK00016,"DAHL, THOMAS H",,1,DEM,95935,0,95832,0,0,103,0,36470,0,6120,0,33369,52747,AK,0,,L,,,0,0,0,12/31/1984,70,0
H4AK00024,"BEGICH, MARGARET (PEGGE)",,1,DEM,397204,0,359345,0,0,35858,0,126700,0,400,0,191878,201459,AK,0,,W,,L,42,0,0,12/31/1984,2100,0
H4AK13019,"JOHNSTON, GEORGE WARREN",,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,4/17/1984,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,485690,0,491014,0,9167,3842,0,0,0,0,0,36533,281515,AK,0,,W,,W,55,0,0,12/31/1984,0,0
H4AK00032,"BRECK, BETTY (BELLE BLUE)",,3,UNK,230,0,201,0,0,28,0,0,0,0,0,0,0,AK,0,,W,,L,3,0,0,11/26/1984,0,0
H0AK01012,"PARNELL, KEVIN ""PAT""",,1,DEM,1796,11,2024,0,450,220,0,0,0,2000,0,54756,1796,AK,1,,,,,,0,0,12/31/1984,0,0
H2AL01010,"GUDAC, STEPHEN M",,1,DEM,41870,0,41948,0,78,0,0,9000,0,32727,0,0,711,AL,1,,,,,,0,0,7/31/1984,0,0
H4AL01016,"ALEXANDER, DAN C JR",O,1,DEM,243539,25908,234684,0,0,8852,0,35800,0,6000,0,29800,195411,AL,1,,L,,,0,0,0,12/31/1984,4825,0
H4AL01040,"MCRIGHT, FRANK",O,1,DEM,583449,0,582198,0,0,1250,0,113000,0,45000,0,68000,375422,AL,1,,W,,L,49,0,0,12/31/1984,1500,0
