Candidate identification,Candidate name,Incumbent challenger status,Party code,Party affiliation,Total receipts,Transfers from authorized committees,Total disbursements,Transfers to authorized committees,Beginning cash,Ending cash,Contributions from candidate,Loans from candidate,Other loans,Candidate loan repayments,Other loan repayments,Debts owed by,Total individual contributions,Candidate state,Candidate district,Special election status,Primary election status,Runoff election status,General election status,General election percentage,Contributions from other political committees,Contributions from party committees,Coverage end date,Refunds to individuals,Refunds to committees
H2AK00028,"MALLOTT, RONALD CREIGHTON",,1,DEM,1894,0,3252,0,48,0,1894,0,0,1616,0,3110,0,AK,0,,,,,,0,0,1/31/1987,0,0
H4AK00024,"BEGICH, MARGARET (PEGGE)",,1,DEM,261469,0,269560,0,35858,27854,0,57000,0,4850,12000,226076,0,AK,0,,W,,L,41,63647,0,12/31/1986,0,0
H6AK00011,"JOHNSTON, GEORGE W",,2,REP,500,0,500,0,0,0,500,0,0,0,0,0,0,AK,0,,L,,,0,0,0,7/15/1986,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,495429,0,487261,0,3842,12010,0,0,500,0,500,36773,0,AK,0,,W,,W,57,252133,0,12/31/1986,0,2000
H6AK00110,"NEWELL, WILLIAM CHARLES",,2,REP,41530,0,41529,0,0,0,2550,36750,1000,8512,0,29237,0,AK,0,,L,,,0,0,0,12/31/1986,0,0
H0AK01012,"PARNELL, KEVIN ""PAT""",,1,DEM,54535,0,54756,0,220,0,51022,3500,0,3500,0,0,0,AK,1,,,,,,0,0,12/31/1985,0,0
H4AL01016,"ALEXANDER, DAN C JR",C,1,DEM,8688,0,5443,0,8852,12096,0,0,0,0,0,29800,0,AL,1,,,,,,0,0,12/31/1986,0,0
H4AL01040,"MCRIGHT, FRANK",C,1,DEM,33966,0,34452,0,1199,714,4326,0,0,13000,0,55000,0,AL,1,,,,,,0,0,12/31/1986,1000,0
H4AL01024,"STOUDENMIRE, WILLIAM WARD",C,2,REP,7118,0,7206,0,128,39,0,2656,0,3450,0,19199,0,AL,1,,,,,,0,0,12/31/1986,0,0
H4AL01032,"CALLAHAN, HERBERT L",I,2,REP,296605,0,144314,0,3945,156236,0,0,0,0,0,0,0,AL,1,,W,,W,100,114197,0,12/31/1986,50,0
H2AL02018,"LEE, LARRY GREELEY",,1,DEM,205,0,0,0,2902,3107,0,0,0,0,0,0,0,AL,2,,,,,,0,0,6/30/1985,0,0
H2AL02034,"CAMP, BILLY JOE",,1,DEM,0,0,100,0,892,792,0,0,0,0,0,0,0,AL,2,,,,,,0,0,6/30/1985,0,0
H6AL02100,"STONE, CHARLES MERCER",,1,DEM,10542,0,10540,0,0,0,0,7500,0,0,0,16141,0,AL,2,,W,,L,33,0,0,12/31/1986,677,0
H6AL02050,"DICKINSON, WILLIAM LOUIS",I,2,REP,381367,0,245555,0,215773,351585,0,0,0,0,0,0,0,AL,2,,W,,W,67,180581,0,12/31/1986,0,0
H6AL03025,"NICHOLS, BILL",I,1,DEM,206234,0,110555,0,260940,356616,0,0,0,0,0,0,0,AL,3,,W,,W,81,67964,0,12/31/1986,0,0
H6AL03017,"GUERIN, WHITCOMB HALSEY",,2,REP,30793,0,30578,0,0,211,0,9250,0,600,0,19207,0,AL,3,,W,,L,19,300,0,12/31/1986,0,0
H4AL04010,"SHARP, MICHAEL CHARLES",C,1,DEM,0,0,763,0,763,0,0,0,0,763,0,0,0,AL,4,,,,,,0,0,12/31/1985,0,0
H6AL04023,"BEVILL, TOM",I,1,DEM,228724,0,149263,0,358023,437485,0,0,3000,0,3007,0,0,AL,4,,W,,W,77,107971,0,12/31/1986,250,500
H6AL04015,"DE SHAZO, ALBERT FRANCIS",,2,REP,9904,0,10001,0,0,0,6509,2806,0,408,0,0,0,AL,4,,W,,L,23,0,0,12/4/1986,0,0
H6AL05038,"FLIPPO, RONNIE GENE",I,1,DEM,438287,0,172356,0,338016,603947,0,0,0,0,0,0,0,AL,5,,W,,W,78,286891,0,12/31/1986,0,0
H2AL06019,"ERDREICH, BEN",I,1,DEM,342883,0,216526,0,20598,146955,0,0,0,0,0,0,0,AL,6,,W,,W,73,214440,0,12/31/1986,0,0
H4AL06015,"WAGGONER, JAMES THOMAS JR (""JABO"")",,2,REP,616,0,3272,0,2655,0,0,0,0,0,0,0,0,AL,6,,,,,,0,0,5/16/1985,0,0
H6AL06069,"WILLIAMS, LARRY MORGAN",,2,REP,6010,0,5534,0,0,415,0,0,0,0,0,4797,0,AL,6,,W,,L,27,0,0,12/4/1986,0,0
H6AL07018,"JOHNSON, ROY WEBSTER JR",O,1,DEM,208490,0,16925,0,0,191565,0,0,0,0,0,0,0,AL,7,,,,,,56304,0,2/1/1986,0,0
H6AL07034,"HILL, WILLIAM RENE (BILLY) JR",O,1,DEM,282321,0,282320,0,0,0,4067,162000,30000,0,0,192000,0,AL,7,,R,L,,0,18950,0,9/30/1986,0,0
H6AL07059,"TAYLOR, SAM EDWARD",O,1,DEM,8500,0,26930,0,575,-17855,1900,0,3600,0,0,0,0,AL,7,,L,,,0,0,0,5/14/1986,0,0
H6AL07067,"GREEN, AUBREY DEWITT",O,1,DEM,89410,0,89408,0,0,0,1250,75000,0,75000,0,0,0,AL,7,,L,,,0,0,0,6/15/1986,0,0
H6AL07075,"HARRIS, CLAUDE JR",O,1,DEM,487377,0,485876,0,0,1501,34596,69500,0,17500,0,65708,0,AL,7,,R,W,W,60,186800,0,12/31/1986,300,0
H6AL07091,"KELLEY, SAMUEL WESLEY",O,1,DEM,22869,0,22869,0,0,0,22869,0,0,0,0,0,0,AL,7,,L,,,0,0,0,7/7/1986,0,0
H6AL07109,"CHANDLER, DEBORAH MCELROY",O,1,DEM,5523,0,6555,0,0,-1032,1032,5278,0,1028,0,0,0,AL,7,,L,,,0,0,0,9/30/1986,0,0
H8AL07014,"SHELBY, RICHARD CRAIG",I,1,DEM,0,0,491007,486103,491007,0,0,0,0,0,0,0,0,AL,7,,,,,,0,0,3/31/1985,0,0
H4AL07021,"MCFARLAND, BILL",O,2,REP,296618,0,299220,0,3658,1053,4000,96000,0,0,0,96000,0,AL,7,,W,,L,40,51967,0,12/31/1986,285,0
H6AL07042,"SELLERS, RICHARD D",O,2,REP,26335,0,24183,0,0,2150,0,0,0,0,0,0,0,AL,7,,L,,,0,250,0,6/30/1986,0,0
H6AL07117,"SOWELL, MIRKO D",,3,IND,0,0,0,0,275,-52,0,0,0,0,0,0,0,AL,7,,W,,,0,0,0,9/30/1986,0,0
H6AR01023,"ALEXANDER, WILLIAM V ""BILL""",I,1,DEM,630461,0,703571,0,81689,8540,0,100000,0,25000,0,116467,0,AR,1,,W,,W,64,303900,0,12/31/1986,0,0
H6AR01049,"WOOD, JAMES E (JIM) JR",,1,DEM,265954,0,265953,0,0,0,10808,90000,0,90000,0,0,0,AR,1,,L,,,0,21881,0,9/30/1986,81491,0
H2AR01014,"BANKS, CHARLES ALFRED",,2,REP,1907,0,3821,0,3464,1548,0,0,0,0,0,0,0,AR,1,,,,,,0,0,12/31/1986,0,0
H6AR01056,"ALBIN, RICKEY HAROLD",,2,REP,53640,0,53455,0,0,184,2230,0,0,0,0,15570,0,AR,1,,W,,L,36,5800,0,12/31/1986,1389,0
H4AR02018,"RIVIERE, PAUL FRANKLIN",C,1,DEM,69788,0,70816,0,1027,0,34707,31561,0,67810,1388,0,0,AR,2,,,,,,0,0,12/31/1986,0,0
H4AR02059,"RUSS, OTIS STANLEY",C,1,DEM,10594,0,11568,0,1029,54,0,0,0,10555,0,5635,0,AR,2,,,,,,3450,0,12/31/1986,0,0
H4AR02091,"ROBINSON, TOMMY F",I,1,DEM,786273,55625,740921,55625,4017,49367,1000,11450,0,238037,0,268533,0,AR,2,,W,,W,75,296867,0,12/31/1986,18525,0
H6AR02104,"LINDSAY, ALAN",,1,DEM,9213,0,9029,0,0,183,2000,100,3715,0,45,3520,0,AR,2,,L,,,0,0,0,6/30/1986,250,0
H6AR02013,"HAMAKER, KEITH",,2,REP,81901,0,81863,0,0,35,0,44375,0,700,0,43675,0,AR,2,,W,,L,25,1125,0,12/31/1986,0,0
H6AR02096,"FAULKNER, ROBERT W",,2,REP,83659,0,83448,0,0,208,6300,0,0,0,0,28948,0,AR,2,,L,,,0,2450,0,12/31/1986,250,0
H8AR02068,"BETHUNE, ED",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,2,,,,,,0,0,4/15/1985,0,0
H4AR02083,"TAYLOR, JAMES R",C,3,IND,185,0,686,0,817,316,0,0,0,0,0,0,0,AR,2,,,,,,0,0,6/30/1985,200,0
H6AR03037,"SARGENT, SU",,1,DEM,11905,0,11904,0,0,0,0,0,4500,0,0,4500,0,AR,3,,W,,L,20,250,0,12/31/1986,299,0
H6AR03029,"HAMMERSCHMIDT, JOHN PAUL",I,2,REP,159238,0,63341,0,72537,168435,13800,0,0,0,0,0,0,AR,3,,W,,W,80,83950,0,12/31/1986,0,0
H8AR04023,"ANTHONY, BERYL FRANKLIN JR",I,1,DEM,390697,0,179169,3000,126236,337764,0,0,0,0,0,0,0,AR,4,,W,,W,77,276757,0,12/31/1986,0,0
H6AR04027,"KEELS, LAMAR",,2,REP,24760,0,24759,0,0,0,8910,5000,0,2938,0,24543,0,AR,4,,W,,L,15,500,0,12/31/1986,0,0
H0AS00026,"SUNIA, FOFO I F CONGRESSMAN",I,1,DEM,35392,0,35052,0,51,390,0,0,0,0,0,0,0,AS,0,,W,,W,56,8950,0,12/31/1986,0,0
H4AS00028,"SALANOA, SOLI AUMOEUALOGO",,2,REP,42399,0,41922,0,0,475,1043,10000,0,1043,0,8957,0,AS,0,,W,,L,44,1000,0,1/31/1987,0,0
H4AZ01012,"BRAUN, HARRY W III",O,1,DEM,32180,0,31528,0,33,685,0,26795,999,0,0,28370,0,AZ,1,,W,,L,29,650,0,12/31/1986,0,0
H2AZ01024,"MCCAIN, JOHN S",I,2,REP,5991,0,198772,185126,192781,0,0,0,0,0,0,0,0,AZ,1,,,,,,750,0,6/30/1985,0,0
H2AZ01040,"RUSSELL, RAY L",O,2,REP,237324,0,237381,0,1837,1778,12551,50000,0,12057,0,90942,0,AZ,1,,L,,,0,5000,0,12/31/1986,15000,0
H6AZ00019,"EDENS, ROBERT H",O,2,REP,160606,0,159855,2000,0,751,100,90000,0,5969,0,82030,0,AZ,1,,L,,,0,3000,0,12/31/1986,-2000,0
H6AZ01025,"LAVIS, RICK C",O,2,REP,167259,0,167132,0,0,125,5000,50650,0,30550,0,26553,0,AZ,1,,L,,,0,14800,0,12/31/1986,0,0
H6AZ01033,"SELLERS, DEAN K",O,2,REP,189945,0,189846,0,0,97,0,147790,0,0,0,147790,0,AZ,1,,,,,,0,0,12/31/1986,23509,0
H6AZ01058,"RAWLES, THOMAS V",O,2,REP,20806,0,20805,0,0,0,1055,0,0,0,0,0,0,AZ,1,,,,,,0,0,3/31/1986,0,0
H6AZ01066,"BALLARD, RONALD H",O,2,REP,27845,0,27253,0,0,592,0,16000,0,0,0,16000,0,AZ,1,,,,,,0,0,12/15/1986,0,0
H6AZ01108,"RHODES, JOHN JACOB III",O,2,REP,498408,9336,493182,0,0,5226,0,86675,0,30713,0,55962,0,AZ,1,,W,,W,71,112065,0,12/31/1986,7000,0
H6AZ02015,"GONZALES, LUIS ARMANDO",,1,DEM,37341,3348,36277,0,4011,1064,0,0,2000,0,0,2000,0,AZ,2,,L,,,0,2300,0,1/31/1987,0,0
H6AZ02049,"UDALL, MORRIS K",I,1,DEM,403554,0,447112,0,56472,12916,0,0,250,0,0,0,0,AZ,2,,W,,W,73,139830,0,12/31/1986,1000,0
H2AZ02022,"LAOS, ROY B III",,2,REP,0,0,0,0,2321,2321,0,0,0,0,0,0,0,AZ,2,,,,,,0,0,12/31/1986,0,0
H4AZ03018,"SCHUSTER, ROBERT C",,1,DEM,17602,0,18039,0,437,0,13487,2299,0,12364,1220,0,0,AZ,3,,,,,,0,0,7/31/1986,0,0
H6AZ03112,"STUMP, BOB",I,2,REP,233689,0,135636,0,72127,170179,0,0,0,0,0,0,0,AZ,3,,W,,W,100,97050,0,12/31/1986,0,0
H6AZ04060,"DAVIS, PHILIP RICHARD",O,1,DEM,826080,0,822030,0,0,4048,310057,303257,0,303257,0,27357,0,AZ,4,,W,,L,35,46800,0,12/31/1986,0,0
H6AZ04029,"RUDD, ELDON",I,2,REP,74523,0,88861,0,236400,222062,0,0,0,0,0,0,0,AZ,4,,,,,,1650,0,12/31/1986,0,0
H6AZ04078,"CONLAN, JOHN B",O,2,REP,455441,0,455442,0,0,0,239000,149000,0,149000,0,0,0,AZ,4,,L,,,0,7400,0,9/30/1986,0,0
H6AZ04110,"KYL, JON L",O,2,REP,1019967,16284,1010914,715,0,9053,0,5092,0,5094,0,593,0,AZ,4,,W,,W,65,239561,0,12/31/1986,1687,0
H6AZ04128,"DIOGUARDI, MARK",O,2,REP,152179,0,151987,0,0,191,0,82484,1000,38021,872,44592,0,AZ,4,,L,,,0,2180,0,12/31/1986,500,0
H2AZ04036,"BROWN, JACK E",,3,,0,0,0,0,0,0,0,0,0,0,0,47135,0,AZ,4,,,,,,0,0,12/31/1986,0,0
H2AZ05017,"MCNULTY, JAMES F JR",C,1,DEM,5983,0,20318,0,14335,0,0,0,0,0,0,0,0,AZ,5,,,,,,435,0,12/22/1986,0,0
H6AZ05026,"IRELAND, JOEL T",,1,DEM,31183,0,31166,0,0,0,0,0,1070,0,570,0,0,AZ,5,,W,,L,35,700,0,12/31/1986,0,0
H0AZ02018,"HUFF, RICHARD H ""DICK""",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,5,,,,,,0,0,5/28/1985,0,0
H2AZ02014,"KOLBE, JAMES T",I,2,REP,629576,39093,619296,500,11448,21725,0,0,0,15000,0,0,0,AZ,5,,W,,W,65,183487,0,12/31/1986,550,0
