Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30
H8AK00132,"SHEIN, DIMITRI",C,1,DEM,0,0,0,0,367.52,367.52,0,0,0,0,0,367.52,0,AK,0,,,,,,0,0,3/31/2019,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,186229.32,71528.54,48528.63,0,116720.12,254420.81,0,0,0,0,0,0,55392.27,AK,0,,,,,,58500,0,3/31/2019,0,0
H8AK01031,"NELSON, THOMAS JOHN",C,2,REP,0,0,466.51,0,466.51,0,0,0,0,0,0,0,0,AK,0,,,,,,0,0,3/31/2019,0,0
H8AK00140,"GALVIN, ALYSE",C,3,IND,30376.65,0,9095.03,0,6245.09,27526.71,0,0,0,0,0,0,0,AK,0,,,,,,0,0,3/31/2019,0,0
H0AL01055,"CARL, JERRY LEE, JR",O,2,REP,387592,0,7528.45,0,0,380063.55,0,200000,0,0,0,200000,184892,AL,1,,,,,,2700,0,3/31/2019,0,0
H4AL01123,"BYRNE, BRADLEY ROBERTS",I,2,REP,544643.34,19259.14,1619368.36,1504815.73,1074725.02,0,0,0,0,0,0,0,60571,AL,1,,,,,,464813.2,0,3/31/2019,0,2500
H0AL02087,"ROBY, MARTHA",I,2,REP,72854.76,0,58493.59,0,341683.01,356044.18,0,0,0,0,0,0,6354.76,AL,2,,,,,,66500,0,3/31/2019,0,0
H8AL02080,"LOVE, JAY K",O,2,REP,0,0,0,0,372.13,372.13,0,0,0,0,0,194214.55,0,AL,2,,,,,,0,0,3/31/2019,0,0
H8AL02171,"MOORE, FELIX BARRY",C,2,REP,0,0,0,0,4927.67,4927.67,0,0,0,0,0,75950.44,0,AL,2,,,,,,0,0,4/25/2019,0,0
H8AL02189,"AMASON, THOMAS MARRION III",C,2,REP,0,0,0,0,-654.2,-654.2,0,0,0,0,0,0,0,AL,2,,,,,,0,0,3/31/2019,0,0
H8AL03039,"TURNHAM, JOSEPH R",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,3,,,,,,0,0,3/31/2019,0,0
H8AL03054,"HAGAN, MALLORY",C,1,DEM,4891.75,0,7809.28,0,2917.53,0,0,0,0,0,0,-6,1320,AL,3,,,,,,0,0,3/31/2019,240,0
H8AL03062,"WINFREY, ADIA MCCLELLAN DR",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,3,,,,,,0,0,3/31/2019,0,0
H2AL03032,"ROGERS, MICHAEL",I,2,REP,187665.73,0,103097.06,25000,527686.03,612254.7,0,0,0,0,0,0,117300,AL,3,,,,,,70200,0,3/31/2019,0,0
H6AL04098,"ADERHOLT, ROBERT B. REP.",I,2,REP,156659.91,0,88616.25,0,715740.36,783784.02,0,0,0,0,0,0,71000,AL,4,,,,,,84900,0,3/31/2019,0,0
H0AL05049,"CRAMER, ROBERT E ""BUD"" JR",I,1,DEM,1278.44,0,3825,0,605647.19,603100.63,0,0,0,0,0,0,0,AL,5,,,,,,0,0,3/31/2019,0,0
H8AL05190,"JOFFRION, PETER S.",O,1,DEM,171.51,0,3106.96,0,2935.45,0,171.51,0,0,0,0,0,0,AL,5,,,,,,0,0,4/22/2019,0,0
H0AL05163,"BROOKS, MO",I,2,REP,86882.77,0,32295.58,0,692181.51,746768.7,0,0,0,0,0,0,71360,AL,5,,,,,,14700,0,3/31/2019,0,0
H8AL05208,"HINCHMAN, ROBERT CLAYTON MR",O,3,GOP,1033.08,0,0,0,-1033.08,0,1033.08,0,0,0,0,92624.68,0,AL,5,,,,,,0,0,3/31/2019,0,0
H4AL06098,"PALMER, GARY",I,2,REP,24689.85,0,67980.74,0,372551.28,329260.39,0,0,0,0,0,0,13985,AL,6,,,,,,10500,0,3/31/2019,0,-2700
H0AL07086,"SEWELL, TERRI A.",I,1,DEM,201498.79,0,187179.54,0,1571272.38,1585591.63,0,0,0,0,0,0,35755,AL,7,,,,,,165500,0,3/31/2019,0,0
H0AR01109,"CAUSEY, CHAD",O,1,DEM,0,0,150,0,331.59,181.59,0,0,0,0,0,112037.3,0,AR,1,,,,,,0,0,3/31/2019,0,0
H0AR01083,"CRAWFORD, ERIC ALAN RICK",I,2,REP,95970,0,104689.45,25000,311424.52,302705.07,0,0,0,0,0,0,51970,AR,1,,,,,,44000,0,3/31/2019,0,0
H0AR01125,"SMITH, PRINCELLA D",O,2,REP,0,0,0,0,4,4,0,0,0,0,0,0,0,AR,1,,,,,,0,0,3/31/2019,0,0
H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",C,1,DEM,0,0,56,0,2456.03,2400.03,0,0,0,0,0,0,0,AR,2,,,,,,0,0,3/31/2019,0,0
H8AR02159,"TUCKER, EVERETT CLARKE IV",C,1,DEM,99.99,0,4219.51,0,7756.41,3636.89,0,0,0,0,0,4500,0,AR,2,,,,,,0,0,3/31/2019,0,0
H4AR02141,"HILL, JAMES FRENCH",I,2,REP,341823.49,82660.93,57227.9,0,46780.63,331376.22,0,0,0,0,0,0,72560,AR,2,,,,,,149196.96,0,3/31/2019,0,0
H0AR03030,"WHITAKER, DAVID JEFFREY",O,1,DEM,0,0,0,0,3367.43,3367.43,0,0,0,0,0,18457.09,0,AR,3,,,,,,0,0,3/31/2019,0,0
